control/mA,Ewe/V
-0.01,-2.062458
-0.01,-2.075644
-0.01,-2.0877426
-0.01,-2.0988488
-0.01,-2.1111763
-0.01,-2.1229885
-0.01,-2.135316
-0.01,-2.1467655
-0.01,-2.1583104
-0.01,-2.1689968
0.01,-0.8725848
0.01,0.1601065
0.01,1.1518737
0.01,1.192558
0.01,1.2237774
0.01,1.2482033
0.01,1.2697096
0.01,1.2896892
0.01,1.3073789
0.01,1.3231794
0.01,1.338121
0.01,1.3525286
0.01,1.3659055
0.01,1.3790917
0.01,1.391381
0.01,1.403613
0.01,1.4156733
0.01,1.4270275
0.01,1.4387062
0.01,1.4500222
0.01,1.4612428
0.01,1.4726734
0.01,1.4844856
0.01,1.4963932
0.01,1.5079955
0.01,1.5197314
0.01,1.531658
0.01,1.5435656
0.01,1.5561411
0.01,1.5677626
0.01,1.5801282
0.01,1.5919595
0.01,1.6041342
0.01,1.6159273
0.01,1.6269763
0.01,1.6388648
0.01,1.650677
0.01,1.6623747
0.01,1.6739198
0.01,1.685503
0.01,1.6972197
0.01,1.7088029
0.01,1.7204816
0.01,1.7318549
0.01,1.7434763
0.01,1.7544106
0.01,1.7659175
0.01,1.7770427
0.01,1.7885687
0.01,1.7996749
0.01,1.8045982
0.01,1.8143686
0.01,1.8252839
0.01,1.8356267
0.01,1.8464466
0.01,1.8569613
0.01,1.8672467
0.01,1.8783721
0.01,1.8885622
0.01,1.8990195
0.01,1.9095341
0.01,1.9210792
