mode,trial,x0trial,ok_run,pre_max,post_max,mse,wall_s,err,Gamma_p,Gamma_n,K_e,R0,sDn,sDp,sDe,gn,gp,ge
locked,3,0,1,0.1266693558689127,7.369281418334594e-05,7.16527950301721e-10,187.4558186531067,,3258.9231677860453,1.024345865270962e-09,0.05308151111754115,5.679603218561378e-07,0.4674229417585094,0.7464243867697569,0.7940595588251667,0.7630395904926821,4.289069460901012,0.7159286797518052
locked,14,0,1,0.10634916527366833,5.2887973254200915e-05,9.5938061760213e-10,415.5112326145172,,3308343.6334981625,1.0248916048692204e-09,0.019736625892672856,2.3778538365539645e-07,0.9948044130048924,1.2948824658822524,1.1683844267197783,1.6537075280547369,0.7900076215142553,1.3613444021481373
locked,22,0,1,0.10022028454950771,5.149051718866815e-05,9.60521660977618e-10,482.4828312397003,,810140785.6259508,1.0249233559167942e-09,0.02259519037841063,5.544468919149666e-07,0.7739463955395398,2.3763845232944556,1.3227592094604221,1.952947496246484,0.4443151243915483,1.3289625912487053
locked,9,0,1,0.09446580783122904,5.279404084035377e-05,9.608022532715495e-10,325.670316696167,,913851918819.4805,1.0250655167611583e-09,0.018935047572095944,1.045797810219319e-06,1.102355230047773,2.1511255243715333,1.3384548378280288,2.1897951378518097,0.42902074355300024,1.1287684195714847
locked,24,0,1,0.10012921126353191,6.323743947156402e-05,9.721263724877008e-10,486.41355180740356,,17117751.628869176,1.0247663855844946e-09,0.02403003502795903,6.867632859689407e-07,0.8942700077415242,0.5820163131621241,1.375789530812226,0.6911387346900075,17.0473562483921,1.9034386620879629
locked,1,0,1,0.09633439086792706,5.277296435401979e-05,9.770985672260675e-10,316.7576582431793,,709704755397.0706,1.0248914313881974e-09,0.05078991026287909,3.9732888420810255e-07,0.6301823683557826,0.6502073148259658,1.2878875997017767,1.0814876149112225,4.797753032780378,0.635233045867335
locked,17,0,1,0.0997057109794568,5.964141557690539e-05,9.947503555588314e-10,248.99886894226074,,60952182.45923845,1.0248385941642541e-09,0.03290904766949317,4.0507574926007507e-07,0.5510037511348895,0.3868180826219387,0.7391778767261405,1.4310743785743458,33.61729632710484,0.625306120847248
locked,6,0,1,0.09545505785965958,5.421850982223475e-05,9.972301292620772e-10,316.398766040802,,262069305432605.0,1.0249627262458868e-09,0.01194440854237103,7.045537010587031e-07,1.0408629522478008,0.9573449017115985,1.0549362477985975,0.7276853002884547,0.44384316113711664,1.976372148932353
locked,18,0,1,0.10427351329192192,7.908512304588555e-05,1.0339686292664647e-09,334.5891375541687,,133228067.33137776,1.02460168181188e-09,0.060266786509752104,4.363192774991495e-07,1.5683285420010287,1.322765505095153,0.9994410699541767,1.3625511589444517,0.79922398981249,0.7239915864555488
locked,8,0,1,0.0991302380465875,6.521579424223489e-05,1.0366715289515152e-09,222.57019090652466,,781514846.1664212,1.0247516805232214e-09,0.021851191868045905,6.34181976717324e-07,1.367287046647522,1.0405718693280077,0.7484514017608399,1.025759950698402,0.4797967432837247,1.1904848081397676
locked,10,0,1,0.09820246096973584,0.00010638454726041857,1.0946389272132155e-09,256.4874019622803,,3242433104.3032527,1.0243667273938463e-09,0.02885048987763189,8.614723803851545e-07,0.8329041708459778,0.616328955749132,1.0726858359709202,1.9672048410980787,1.3668459879785682,2.282137066661842
locked,16,0,1,0.09385493505736342,0.000144629426536369,1.1640231369695388e-09,461.62806463241577,,21220033326944.008,1.0240264927042713e-09,0.06950200564207196,1.261121110032319e-06,0.9668936353366936,0.6246291221906946,1.4313209597645031,2.0039019269196428,0.43939258767669875,1.7851828321127412
locked,19,0,1,0.09356707296264055,0.000137646527097246,1.183979185266614e-09,435.0292913913727,,650900820810122.2,1.0240525924947326e-09,0.05054226340396231,5.556849323487648e-07,0.6289781855404124,1.6381107268224486,1.2654026973612482,1.2941635755980576,0.636724005453829,2.0764723368336586
locked,23,0,1,0.09903397508270473,0.00013964453401626997,1.414611523593619e-09,185.22705793380737,,1114658723.1057892,1.0240169277710668e-09,0.04063119482345312,2.623337313217335e-07,1.0115407680607449,1.082743275367383,0.5562430882921703,0.8293844078022862,7.03768015313839,1.1405538595931926
locked,0,0,1,0.09956251830501905,0.00020096655829249244,1.4338876209914715e-09,308.13714480400085,,1258808083.0865922,1.0234654375906062e-09,0.05658254635837648,7.942402281577539e-07,1.261422385477896,2.1445271170616578,0.9929761152502178,1.6854284462024414,0.87838127583618,2.132323849402581
locked,2,0,1,0.10192619393206392,0.00015542695514980664,1.5141516870108996e-09,121.80502605438232,,133667280.7330903,1.0238667695320577e-09,0.03416496435635264,2.554337767485215e-07,0.9405090481025714,1.6615190432743139,0.5434102012871861,0.6612135473357439,0.6052576857430186,1.4837642315155222
locked,5,0,1,0.10442501872439358,0.00019486486651842938,1.5543607950930184e-09,164.8562150001526,,193987907.72294194,1.023531004882882e-09,0.036910443097956235,9.295117720907707e-07,0.4422182783586543,1.0298412298374338,0.7416460779530132,0.6513538827507059,0.44245813074863904,2.370905193658425
locked,7,0,1,0.0972215529357694,0.00015608390373778036,1.6802547009651755e-09,134.6417305469513,,36796862693.11278,1.023873647574183e-09,0.036146405773299195,4.856074184049926e-07,0.6199060158665717,0.6397567683348824,0.4271150506902017,1.9142329485563325,43.45225614926512,1.1261339967620732
locked,15,0,1,0.09783943958829333,0.0011685122588644958,8.913516180749476e-08,279.65823340415955,,1759756571.9087427,1.0252684120141859e-09,0.050635537406772076,5.82250079237922e-07,1.1078604811846449,0.23206688814063148,0.7972075996533328,2.368881817279181,191.9202432340628,1.9019226928523738
locked,13,0,1,0.13600464309805638,0.0005942584990847877,9.886928928001995e-08,371.72106409072876,,384.02164959698945,1.018564921208553e-09,0.12878456408179068,2.6878105221312263e-05,0.5566954254299574,1.3035986831668684,1.0255489905430146,0.6937709551226,3.7785787130787,1.8256892717104494
locked,4,0,1,0.09715201560328524,0.01595298707322712,1.3633617039304837e-05,347.5482940673828,,7537432504.085735,1.0405206625478558e-09,0.09598043667884246,1.047088463793161e-06,0.949827852386971,0.21407581834220663,1.2804741953749583,0.7803136848484592,244.41181497051883,1.2608454562271976
locked,11,0,1,0.09394152294633429,0.7182469825030893,0.0020573696551333003,136.16825222969055,,18892820694261.992,7.971946248871243e-07,0.06912651434379397,5.858738345529607e-07,0.5027376206047001,0.1406586414762878,0.5145828583566397,0.7340474629678028,16307856.601494417,1.2599728282024631
locked,12,0,1,0.09474978969610959,0.7183948419556714,0.0020583146217650647,337.8885405063629,,18520376953.424667,7.983096998392652e-07,0.059688899265939496,1.0812788039348487e-06,0.6647920218728699,0.12890846534944977,1.0815260139482843,0.719208099232744,84760.9182876584,1.9220812516732584
locked,21,0,1,0.09461718869076563,0.7184528465522195,0.0020585461095409883,280.8625240325928,,1474355100866.837,7.987686480452548e-07,0.017498647645393994,1.7503378313395595e-06,0.980170730853338,0.2312225442939988,0.740262779040321,0.7168922473586312,330791.26216513955,1.5495450750206659
